gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
16 - MTRNR2L8	0.5197798182794984	0.19095266240314157	0.8301941053254029	False		False
17 - STAT2	0.5072383479139353	0.19959089057212154	0.8301941053254029	False		False
17 - H1F0	0.5633899182324824	0.16895536845659143	0.8301941053254029	False		False
8 - GADD45B	0.45062213898716175	0.22828397120116195	0.8301941053254029	False		False
17 - GSTP1	0.4563203405375563	0.22296928458178333	0.8301941053254029	False		False
14 - CHMP5	0.4552076651800012	0.22486042072350465	0.8301941053254029	False		False
11 - SLC25A16	0.5187161947175755	0.19508331553412028	0.8301941053254029	False		False
11 - RUNX2	0.4750793120684764	0.21477023788723226	0.8301941053254029	False		False
10 - RPS3A	0.42662210459958705	0.24885647283960144	0.8301941053254029	False		False
17 - SECISBP2	0.5490205301342106	0.17810262840534585	0.8301941053254029	False		False
17 - DDX39A	0.49323818663310826	0.2063204325290331	0.8301941053254029	False		False
7 - MX1	0.42724501466601983	0.24901585665670056	0.8301941053254029	False		False
17 - UBALD2	0.48217003906574285	0.21317695669450953	0.8301941053254029	False		False
9 - IFIT1	0.4263184028213963	0.2492984051500483	0.8301941053254029	False		False
16 - RAB29	0.5308208174347815	0.1839590220511168	0.8301941053254029	False		False
8 - MX1	0.431193124397511	0.24668239422359683	0.8301941053254029	False		False
14 - TATDN1	0.531392723929452	0.18372795508484252	0.8301941053254029	False		False
14 - SCIMP	0.5430653857358217	0.18066583408396442	0.8301941053254029	False		False
11 - MAEA	0.4601559545898044	0.22334297891507482	0.8301941053254029	False		False
17 - PHACTR1	0.5195738567122548	0.192828146792709	0.8301941053254029	False		False
10 - MT2A	0.46179930079617626	0.2270470138787546	0.8301941053254029	False		False
14 - NDUFB9	0.5002160046375923	0.20313946352392132	0.8301941053254029	False		False
16 - SORL1	0.4536082205425125	0.22810059028613205	0.8301941053254029	False		False
16 - PLXDC2	0.4912580757579069	0.2042380353878872	0.8301941053254029	False		False
17 - G3BP1	0.4859079435692112	0.2121019934137668	0.8301941053254029	False		False
14 - SARS	0.4504258070979368	0.22849346089067968	0.8301941053254029	False		False
17 - EIF2AK2	0.5344286436585879	0.18782203218387628	0.8301941053254029	False		False
17 - MED13L	0.4451213233044411	0.23509098109801074	0.8301941053254029	False		False
11 - ZNF292	0.49741539233047105	0.20498362490592692	0.8301941053254029	False		False
11 - PRDM1	0.5079737038507914	0.19842510364198962	0.8301941053254029	False		False
10 - SRRM2	0.4682921935190568	0.22051532999302648	0.8301941053254029	False		False
4 - PTPN6	0.5258270483407435	0.1866711021539953	0.8301941053254029	False		False
13 - NAIP	0.5014491889092232	0.19870584570694705	0.8301941053254029	False		False
11 - PRDM2	0.4807019284536478	0.2111344277517866	0.8301941053254029	False		False
17 - SEMA4D	0.48455130476142616	0.2115847050249975	0.8301941053254029	False		False
11 - PUS7L	0.5216032695868764	0.19049340574012041	0.8301941053254029	False		False
14 - PAK1	0.5758563724511381	0.16390966612656166	0.8301941053254029	False		False
16 - LRRFIP1	0.47437547456740614	0.21435331185482287	0.8301941053254029	False		False
14 - RBM3	0.43030801380405903	0.2460144275434849	0.8301941053254029	False		False
14 - NCF1	0.4999568402280642	0.20030056302570554	0.8301941053254029	False		False
14 - TXN	0.5137373786321631	0.19353091755502572	0.8301941053254029	False		False
10 - MAPK1IP1L	0.5227208312229995	0.19272591468125988	0.8301941053254029	False		False
11 - CCL4	0.4395501264759938	0.2396770965720103	0.8301941053254029	False		False
17 - FCHSD2	0.44850715349107195	0.23038643351560573	0.8301941053254029	False		False
11 - PRF1	0.4758833327244104	0.21297794985588603	0.8301941053254029	False		False
17 - SCAMP1	0.48850487828525835	0.20787363654780888	0.8301941053254029	False		False
14 - ARL6IP6	0.5052805098296047	0.1983811829831691	0.8301941053254029	False		False
14 - SNW1	0.48311539622285016	0.21003974255007885	0.8301941053254029	False		False
16 - NDUFB7	0.4804156538050107	0.21731888837022728	0.8301941053254029	False		False
14 - HERC5	0.4941324742296329	0.20653961837332424	0.8301941053254029	False		False
11 - AGO3	0.48405090318465605	0.2102692214275702	0.8301941053254029	False		False
17 - FAM120A	0.5047929143145009	0.2006322442174887	0.8301941053254029	False		False
17 - APEX1	0.5714761245323368	0.1664593462366153	0.8301941053254029	False		False
17 - TOMM7	0.4662855399066417	0.2220040320733927	0.8301941053254029	False		False
11 - GTPBP4	0.5270232515937274	0.18919121845934062	0.8301941053254029	False		False
14 - MYCBP2	0.4494052627852907	0.23445642706063208	0.8301941053254029	False		False
