gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
8 - GPAA1	1.1102230246251565e-16	0.012022342063157887	4.066751005952954e-16	True	0.03646366525674039	False
8 - IRF7	1.1102230246251565e-16	0.1297245357697816	4.066751005952954e-16	True	0.2192676653604163	False
3 - POU2AF1	1.1102230246251565e-16	0.3582336704728303	4.066751005952954e-16	True	0.3413671635108039	False
11 - XAF1	1.1102230246251565e-16	0.45420861861153894	4.066751005952954e-16	True	0.5239926086772421	True
3 - RASD1	1.1102230246251565e-16	0.03573240916729181	4.066751005952954e-16	True	0.05851843577237778	False
14 - PLSCR1	1.1102230246251565e-16	0.5041985081180782	4.066751005952954e-16	True	0.542936732688038	True
3 - RAB11FIP1	1.1102230246251565e-16	0.07736082804267475	4.066751005952954e-16	True	0.09470622766567845	False
8 - RNFT1	1.1102230246251565e-16	0.021804628016467875	4.066751005952954e-16	True	0.06050509428671598	False
14 - NCF1	1.1102230246251565e-16	0.4403686820423802	4.066751005952954e-16	True	0.3999954334663814	True
8 - TPD52L2	1.1102230246251565e-16	0.011699064829034822	4.066751005952954e-16	True	0.061382732328057445	False
3 - YPEL5	1.1102230246251565e-16	0.0821661004159	4.066751005952954e-16	True	0.1037067349660418	False
14 - TNFAIP3	1.1102230246251565e-16	0.20639193433040792	4.066751005952954e-16	True	0.2711065190451344	False
1 - IFITM2	1.1102230246251565e-16	0.2100431656844205	4.066751005952954e-16	True	0.2493348712222698	False
2 - RGCC	1.1102230246251565e-16	0.026665564320299873	4.066751005952954e-16	True	0.08866014899717135	False
3 - TNFRSF13B	1.1102230246251565e-16	0.17671800807233762	4.066751005952954e-16	True	0.15131372341935706	False
3 - CSF2RB	1.1102230246251565e-16	0.04177085418861837	4.066751005952954e-16	True	0.09672579772604711	False
14 - GBP1	1.1102230246251565e-16	0.38496221416198106	4.066751005952954e-16	True	0.4103907563933765	True
3 - PRSS57	1.1102230246251565e-16	0.04553559433180954	4.066751005952954e-16	True	0.114566802613966	False
5 - LGALS2	1.1102230246251565e-16	0.010510089582876692	4.066751005952954e-16	True	0.04404652507207843	False
5 - EPSTI1	1.1102230246251565e-16	0.22384715894574292	4.066751005952954e-16	True	0.27336810736103606	False
12 - IER3	1.1102230246251565e-16	0.045634491873708494	4.066751005952954e-16	True	0.11382373054504272	False
3 - RBM4	1.1102230246251565e-16	0.025027268907381606	4.066751005952954e-16	True	0.046302604835202196	False
5 - RNPC3	1.1102230246251565e-16	0.017973388087891506	4.066751005952954e-16	True	0.0780293426669884	False
14 - RPL3	1.1102230246251565e-16	0.21897780656966914	4.066751005952954e-16	True	0.28325388707092725	False
3 - IRF4	1.1102230246251565e-16	0.1013744082200071	4.066751005952954e-16	True	0.19954475107004152	False
8 - CX3CR1	1.1102230246251565e-16	0.012397247834420644	4.066751005952954e-16	True	0.07031329359940212	False
13 - S100A12	1.1102230246251565e-16	0.29065891326728643	4.066751005952954e-16	True	0.2733856290828585	False
13 - S100A8	1.1102230246251565e-16	0.30201192418995704	4.066751005952954e-16	True	0.27789925019962053	False
3 - CD4	1.1102230246251565e-16	0.1876693397836795	4.066751005952954e-16	True	0.15122315999906039	False
12 - CLU	1.1102230246251565e-16	0.4762430044297491	4.066751005952954e-16	True	0.4838732976101018	True
