gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
8 - GPAA1	1.1102230246251565e-16	0.012022343404061275	4.066751005952954e-16	True	0.0364636650212957	False
8 - IRF7	1.1102230246251565e-16	0.12972453249503402	4.066751005952954e-16	True	0.21926766097345987	False
3 - POU2AF1	1.1102230246251565e-16	0.35823367198379386	4.066751005952954e-16	True	0.3413671646527404	False
11 - XAF1	1.1102230246251565e-16	0.45420862631716896	4.066751005952954e-16	True	0.5239926138726676	False
3 - RASD1	1.1102230246251565e-16	0.035732410538012904	4.066751005952954e-16	True	0.05851843741221201	False
14 - PLSCR1	1.1102230246251565e-16	0.5041985077318142	4.066751005952954e-16	True	0.5429367308537894	False
3 - RAB11FIP1	1.1102230246251565e-16	0.07736083173711217	4.066751005952954e-16	True	0.09470623021017577	False
8 - RNFT1	1.1102230246251565e-16	0.021804628660952563	4.066751005952954e-16	True	0.06050509375458422	False
14 - NCF1	1.1102230246251565e-16	0.4403686806816207	4.066751005952954e-16	True	0.39999543479627403	False
8 - TPD52L2	1.1102230246251565e-16	0.011699064867801257	4.066751005952954e-16	True	0.06138273132391787	False
3 - YPEL5	1.1102230246251565e-16	0.08216610309728689	4.066751005952954e-16	True	0.10370673659534263	False
14 - TNFAIP3	1.1102230246251565e-16	0.20639193580527937	4.066751005952954e-16	True	0.2711065196154576	False
1 - IFITM2	1.1102230246251565e-16	0.2100431640095155	4.066751005952954e-16	True	0.24933487064806623	False
2 - RGCC	1.1102230246251565e-16	0.026665564392898022	4.066751005952954e-16	True	0.08866014926335483	False
3 - TNFRSF13B	1.1102230246251565e-16	0.17671800852684083	4.066751005952954e-16	True	0.15131372395711132	False
3 - CSF2RB	1.1102230246251565e-16	0.04177085509619127	4.066751005952954e-16	True	0.09672579712372424	False
14 - GBP1	1.1102230246251565e-16	0.38496221614752923	4.066751005952954e-16	True	0.41039075891704524	False
3 - PRSS57	1.1102230246251565e-16	0.045535595450888255	4.066751005952954e-16	True	0.11456680353390873	False
5 - LGALS2	1.1102230246251565e-16	0.01051008819808208	4.066751005952954e-16	True	0.044046524685575905	False
5 - EPSTI1	1.1102230246251565e-16	0.22384715535202737	4.066751005952954e-16	True	0.2733681034116404	False
12 - IER3	1.1102230246251565e-16	0.0456344908778924	4.066751005952954e-16	True	0.11382372900511031	False
3 - RBM4	1.1102230246251565e-16	0.025027268810011383	4.066751005952954e-16	True	0.04630260496213396	False
5 - RNPC3	1.1102230246251565e-16	0.017973388017433756	4.066751005952954e-16	True	0.07802934190692659	False
14 - RPL3	1.1102230246251565e-16	0.2189778110291306	4.066751005952954e-16	True	0.283253889346316	False
3 - IRF4	1.1102230246251565e-16	0.10137440690646482	4.066751005952954e-16	True	0.19954474861188734	False
8 - CX3CR1	1.1102230246251565e-16	0.012397246939455542	4.066751005952954e-16	True	0.07031329063804191	False
13 - S100A12	1.1102230246251565e-16	0.29065890753628587	4.066751005952954e-16	True	0.273385626858601	False
13 - S100A8	1.1102230246251565e-16	0.30201191675828165	4.066751005952954e-16	True	0.27789924853706827	False
3 - CD4	1.1102230246251565e-16	0.1876693484724753	4.066751005952954e-16	True	0.15122316500736918	False
12 - CLU	1.1102230246251565e-16	0.47624300111094886	4.066751005952954e-16	True	0.48387329302435395	False
3 - TRAF4	1.1102230246251565e-16	0.1864561144485133	4.066751005952954e-16	True	0.15168124711427575	False
8 - EAF2	1.1102230246251565e-16	0.009096211492201522	4.066751005952954e-16	True	0.03842446301553569	False
14 - MARCO	1.1102230246251565e-16	0.27641722845807115	4.066751005952954e-16	True	0.27567637894894653	False
1 - APOBEC3A	1.1102230246251565e-16	0.1491617769380973	4.066751005952954e-16	True	0.2191355614499265	False
13 - WDR74	1.1102230246251565e-16	0.20097395858294131	4.066751005952954e-16	True	0.22078782823029466	False
9 - MYOM2	1.1102230246251565e-16	0.029008939091873076	4.066751005952954e-16	True	0.09708532968037988	False
7 - ISG15	1.1102230246251565e-16	0.501780193011522	4.066751005952954e-16	True	0.5845847988767484	False
5 - SSB	1.1102230246251565e-16	0.05233554106280014	4.066751005952954e-16	True	0.11463073572446975	False
8 - VRK2	1.1102230246251565e-16	0.009810289963536056	4.066751005952954e-16	True	0.059167512553165456	False
9 - IFI44L	1.1102230246251565e-16	0.4388381353321391	4.066751005952954e-16	True	0.4993520240504731	False
14 - CLU	1.1102230246251565e-16	0.4719036585258508	4.066751005952954e-16	True	0.5170489817469572	False
3 - RNF220	1.1102230246251565e-16	0.00975265552961524	4.066751005952954e-16	True	0.05696738725930955	False
8 - MPHOSPH9	1.1102230246251565e-16	0.013635145704795515	4.066751005952954e-16	True	0.047805707227139206	False
3 - SLC15A4	1.1102230246251565e-16	0.13488117930492038	4.066751005952954e-16	True	0.12261045026210955	False
14 - IFIT1	1.1102230246251565e-16	0.4307682491581023	4.066751005952954e-16	True	0.511982620893505	False
3 - SMIM14	1.1102230246251565e-16	0.09393335292371907	4.066751005952954e-16	True	0.10237443081518816	False
3 - RGS1	1.1102230246251565e-16	0.08770198518250705	4.066751005952954e-16	True	0.09976072154362675	False
3 - CAPG	1.1102230246251565e-16	0.1313700316622064	4.066751005952954e-16	True	0.12165532481147186	False
8 - KLRF1	1.1102230246251565e-16	0.0261968496941537	4.066751005952954e-16	True	0.09840629727695357	False
8 - ATOX1	1.1102230246251565e-16	0.020964221080047918	4.066751005952954e-16	True	0.08245745891024359	False
12 - NKG7	1.1102230246251565e-16	0.43979636172405856	4.066751005952954e-16	True	0.4953546505163166	False
8 - ATG14	1.1102230246251565e-16	0.028667861712884712	4.066751005952954e-16	True	0.09738787954651462	False
3 - PRDX4	1.1102230246251565e-16	0.24960246254456286	4.066751005952954e-16	True	0.20956055037443305	False
8 - TXNDC17	1.1102230246251565e-16	0.015560747582870182	4.066751005952954e-16	True	0.059249491328449616	False
11 - IFI44L	1.1102230246251565e-16	0.39140113762636053	4.066751005952954e-16	True	0.4481887322750541	False
3 - PIGP	1.1102230246251565e-16	0.01451298108640342	4.066751005952954e-16	True	0.0748640166850574	False
8 - CHST12	1.1102230246251565e-16	0.025326282734539518	4.066751005952954e-16	True	0.0924872247957468	False
3 - PLA2G16	1.1102230246251565e-16	0.03624137947591044	4.066751005952954e-16	True	0.057755499728438804	False
3 - TCL1A	1.1102230246251565e-16	0.10567749977292185	4.066751005952954e-16	True	0.11062869271779781	False
3 - SORL1	1.1102230246251565e-16	0.042719092834009986	4.066751005952954e-16	True	0.06458273347470393	False
1 - FOLR3	1.1102230246251565e-16	0.06558188111053853	4.066751005952954e-16	True	0.16316861225759088	False
3 - IVD	1.1102230246251565e-16	0.033179638694535996	4.066751005952954e-16	True	0.08574011208132025	False
3 - OFD1	1.1102230246251565e-16	0.1575573887840216	4.066751005952954e-16	True	0.13501080819334818	False
3 - SLC40A1	1.1102230246251565e-16	0.06471282280139512	4.066751005952954e-16	True	0.11723202432592637	False
3 - CYBB	1.1102230246251565e-16	0.084228887187069	4.066751005952954e-16	True	0.09369406362655595	False
2 - IFI44L	1.1102230246251565e-16	0.3704335939135621	4.066751005952954e-16	True	0.4376002478656715	False
9 - FCER1G	1.1102230246251565e-16	0.02339176902090212	4.066751005952954e-16	True	0.08805121871076209	False
11 - ISG15	1.1102230246251565e-16	0.43220290919743265	4.066751005952954e-16	True	0.5200155175337696	False
14 - IFI44L	1.1102230246251565e-16	0.5039442713965078	4.066751005952954e-16	True	0.5480915399487323	False
3 - AQP3	1.1102230246251565e-16	0.21326286452799714	4.066751005952954e-16	True	0.24243193301171803	False
12 - MT2A	1.1102230246251565e-16	0.42378187789028976	4.066751005952954e-16	True	0.4353800070948856	False
3 - FLNB	1.1102230246251565e-16	0.10863489680137184	4.066751005952954e-16	True	0.11080237060783946	False
3 - ATP8B4	1.1102230246251565e-16	0.02194576582234975	4.066751005952954e-16	True	0.07856158804620968	False
3 - MANF	1.1102230246251565e-16	0.19071090506357002	4.066751005952954e-16	True	0.21977663422763838	False
1 - LGALS1	1.1102230246251565e-16	0.23108055429040064	4.066751005952954e-16	True	0.22854963989396568	False
14 - NKG7	1.1102230246251565e-16	0.09249820014167909	4.066751005952954e-16	True	0.1889517102831894	False
3 - CDK2AP2	1.1102230246251565e-16	0.034653987985629575	4.066751005952954e-16	True	0.11776719366068415	False
3 - FCGRT	1.1102230246251565e-16	0.18266363785061246	4.066751005952954e-16	True	0.14830513235690693	False
3 - TPM2	1.1102230246251565e-16	0.27960219199152514	4.066751005952954e-16	True	0.19253622451411248	False
3 - JAML	1.1102230246251565e-16	0.14349296879648088	4.066751005952954e-16	True	0.12855505893148655	False
3 - RAB3GAP2	1.1102230246251565e-16	0.007797326707897234	4.066751005952954e-16	True	0.05566282630958825	False
8 - CCL4	1.1102230246251565e-16	0.04141951705596847	4.066751005952954e-16	True	0.12931502392612482	False
8 - IFITM3	1.1102230246251565e-16	0.04608662072040881	4.066751005952954e-16	True	0.1229007331148451	False
3 - CXCR4	1.1102230246251565e-16	0.02984429693454771	4.066751005952954e-16	True	0.05192577620783074	False
3 - H2AFY	1.1102230246251565e-16	0.044402371047842726	4.066751005952954e-16	True	0.11079977364901815	False
8 - IFI6	1.1102230246251565e-16	0.14907215609387414	4.066751005952954e-16	True	0.23718718526958454	False
3 - PLEK	1.1102230246251565e-16	0.14368059617645668	4.066751005952954e-16	True	0.13428462602978833	False
1 - HIST1H1E	1.1102230246251565e-16	0.022955702453552496	4.066751005952954e-16	True	0.08754811863468138	False
2 - MT2A	1.1102230246251565e-16	0.06994258452336732	4.066751005952954e-16	True	0.1500060629950742	False
3 - SLC20A1	1.1102230246251565e-16	0.050887451067553435	4.066751005952954e-16	True	0.06787848373015297	False
3 - PPP1R14B	1.1102230246251565e-16	0.18193108705590066	4.066751005952954e-16	True	0.14868638791531905	False
8 - CD8B	1.1102230246251565e-16	0.011846264497244241	4.066751005952954e-16	True	0.03999548845695377	False
7 - KLRB1	1.1102230246251565e-16	0.16838569130950132	4.066751005952954e-16	True	0.18890455869821754	False
3 - LY6E	1.1102230246251565e-16	0.2647422194862439	4.066751005952954e-16	True	0.27808070496007525	False
3 - CD27	1.1102230246251565e-16	0.34745094348282834	4.066751005952954e-16	True	0.3172012651818345	False
3 - MX1	1.1102230246251565e-16	0.2526195675331615	4.066751005952954e-16	True	0.32076569481643735	False
13 - IL1B	1.1102230246251565e-16	0.09208161098528911	4.066751005952954e-16	True	0.09963372892390633	False
3 - TGFBR2	1.1102230246251565e-16	0.13514769155655526	4.066751005952954e-16	True	0.12131141969747901	False
8 - GNL2	1.1102230246251565e-16	0.017001693820861474	4.066751005952954e-16	True	0.04143504146248502	False
3 - CYB561A3	1.1102230246251565e-16	0.24528700743632859	4.066751005952954e-16	True	0.17837748586693547	False
14 - S100A12	1.1102230246251565e-16	0.2848431464527299	4.066751005952954e-16	True	0.2795342792449713	False
1 - MT2A	1.1102230246251565e-16	0.23507460846810502	4.066751005952954e-16	True	0.2876021658412596	False
3 - UGCG	1.1102230246251565e-16	0.24250804996019004	4.066751005952954e-16	True	0.17825112795456138	False
13 - IFI6	1.1102230246251565e-16	0.5860893375015814	4.066751005952954e-16	True	0.6440804303840424	False
3 - IGKV3-11	1.1102230246251565e-16	0.08937233410497947	4.066751005952954e-16	True	0.18256023404797703	False
3 - DDIT4	1.1102230246251565e-16	0.055405124020343255	4.066751005952954e-16	True	0.07372405048762383	False
3 - TSPYL2	1.1102230246251565e-16	0.09071324657868385	4.066751005952954e-16	True	0.10333484690116246	False
1 - H2AFJ	1.1102230246251565e-16	0.14756416624091295	4.066751005952954e-16	True	0.21866287894024092	False
12 - LGALS2	1.1102230246251565e-16	0.08827191238883259	4.066751005952954e-16	True	0.1412129213115177	False
3 - CNPY3	1.1102230246251565e-16	0.15727302756025707	4.066751005952954e-16	True	0.13353517424385739	False
3 - MICU2	1.1102230246251565e-16	0.009279561006456993	4.066751005952954e-16	True	0.060366782343736325	False
1 - PLK3	1.1102230246251565e-16	0.010028524092154045	4.066751005952954e-16	True	0.051790301429754326	False
8 - TRNT1	1.1102230246251565e-16	0.013072086151250883	4.066751005952954e-16	True	0.0715489380015111	False
14 - ISG20	1.1102230246251565e-16	0.3486280358626386	4.066751005952954e-16	True	0.41347624954000883	False
3 - NFE2	1.1102230246251565e-16	0.03428349732183966	4.066751005952954e-16	True	0.10639253672416951	False
8 - CDK2AP2	1.1102230246251565e-16	0.0131419635169161	4.066751005952954e-16	True	0.06265101870165882	False
13 - ISG15	1.1102230246251565e-16	0.535267575319226	4.066751005952954e-16	True	0.6073580352159472	False
2 - FOS	1.1102230246251565e-16	0.04695217309663091	4.066751005952954e-16	True	0.11211146570017477	False
3 - MPEG1	1.1102230246251565e-16	0.19971174439449868	4.066751005952954e-16	True	0.15606721620861136	False
3 - SAMHD1	1.1102230246251565e-16	0.1250103010044049	4.066751005952954e-16	True	0.11497641906208413	False
3 - PTPRE	1.1102230246251565e-16	0.1894751734506347	4.066751005952954e-16	True	0.14943020908665078	False
8 - FCGR3A	1.1102230246251565e-16	0.016898877702836712	4.066751005952954e-16	True	0.06631385577776251	False
3 - CSF3R	1.1102230246251565e-16	0.022251578762695123	4.066751005952954e-16	True	0.0824000829247567	False
13 - LGALS2	1.1102230246251565e-16	0.09082564067852028	4.066751005952954e-16	True	0.1509252297920881	False
3 - IFI27	1.1102230246251565e-16	0.3557007159386336	4.066751005952954e-16	True	0.42432350959574566	False
3 - CAMK1D	1.1102230246251565e-16	0.025207196587648695	4.066751005952954e-16	True	0.08624909167559151	False
8 - MX1	1.1102230246251565e-16	0.13396714774885965	4.066751005952954e-16	True	0.22557696009824899	False
3 - TMEM107	1.1102230246251565e-16	0.09772862795229209	4.066751005952954e-16	True	0.10209040116431402	False
3 - PTGDS	1.1102230246251565e-16	0.08654817328343745	4.066751005952954e-16	True	0.09525875965301694	False
14 - RPS2	1.1102230246251565e-16	0.11002701723714081	4.066751005952954e-16	True	0.1938901844777672	False
8 - IFI44L	1.1102230246251565e-16	0.13977474537762635	4.066751005952954e-16	True	0.23273906919967088	False
3 - GAS6	1.1102230246251565e-16	0.014232715927542494	4.066751005952954e-16	True	0.03434818097198125	False
13 - FOLR3	1.1102230246251565e-16	0.07742500237190897	4.066751005952954e-16	True	0.17700482165276618	False
3 - HVCN1	1.1102230246251565e-16	0.05431461219068201	4.066751005952954e-16	True	0.07531893718721841	False
3 - CD68	1.1102230246251565e-16	0.2001198829752311	4.066751005952954e-16	True	0.15737053563506737	False
5 - MRPL3	1.1102230246251565e-16	0.016223123601248335	4.066751005952954e-16	True	0.04841801928254505	False
3 - CHCHD10	1.1102230246251565e-16	0.09739284669799442	4.066751005952954e-16	True	0.16406185593603906	False
14 - SERPING1	1.1102230246251565e-16	0.5579802180970188	4.066751005952954e-16	True	0.6165834133930801	False
14 - FCGR1A	1.1102230246251565e-16	0.47987320106819387	4.066751005952954e-16	True	0.4845924104837871	False
3 - BTG2	1.1102230246251565e-16	0.031376999406425576	4.066751005952954e-16	True	0.10948224971473555	False
13 - MX1	1.1102230246251565e-16	0.5310979325161136	4.066751005952954e-16	True	0.5813648506166917	False
1 - CD14	1.1102230246251565e-16	0.10967673778570652	4.066751005952954e-16	True	0.18742375145516577	False
8 - MAPKAPK3	1.1102230246251565e-16	0.011709623117574619	4.066751005952954e-16	True	0.06332068151372207	False
3 - RUNX2	1.1102230246251565e-16	0.07294745434120531	4.066751005952954e-16	True	0.08373187047707174	False
7 - GZMK	1.1102230246251565e-16	0.12536599283787242	4.066751005952954e-16	True	0.16908108542265174	False
1 - LGALS2	1.1102230246251565e-16	0.01482605990130792	4.066751005952954e-16	True	0.06634109319346071	False
14 - DDIT4	1.1102230246251565e-16	0.20960824784342125	4.066751005952954e-16	True	0.2541857186148848	False
14 - TNFSF10	1.1102230246251565e-16	0.2927414599963124	4.066751005952954e-16	True	0.35861997561735254	False
5 - GZMB	1.1102230246251565e-16	0.014439589989757251	4.066751005952954e-16	True	0.07471782512019688	False
