gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
7 - S100A9	9.978180832048711e-05	0.9961187962580764	0.19956361664097422	False		False
17 - GABPB1-AS1	0.14820863714406096	0.7798706649314495	0.7178068555019116	False		False
5 - IRF7	0.3424484404011656	0.4933408307769829	0.7178068555019116	False		False
8 - RPL3	0.27659245668298604	0.6005673421168474	0.7178068555019116	False		False
7 - MT2A	0.523014001217764	0.23848265545958514	0.7178068555019116	False		False
9 - LSP1	0.3001531565070925	0.5787432540723076	0.7178068555019116	False		False
17 - KLF13	0.278977890438284	0.6092290483041017	0.7178068555019116	False		False
17 - PPP2R5E	0.3237887268366486	0.5409773420801982	0.7178068555019116	False		False
11 - UVRAG	0.07554370131890609	0.8482593529771422	0.7178068555019116	False		False
17 - ELL2	0.5044705038101761	0.3497265672284138	0.7178068555019116	False		False
11 - MIDN	0.5141178641765534	0.2961480630497959	0.7178068555019116	False		False
15 - DNAJA1	0.1236766308341658	0.783947477772703	0.7178068555019116	False		False
11 - CLIC3	0.539766586121331	0.18359099920233468	0.7178068555019116	False		False
17 - MTDH	0.26757210927996955	0.5940976233844932	0.7178068555019116	False		False
11 - TARSL2	0.4845730448815626	0.21717575282216328	0.7178068555019116	False		False
12 - S100A11	0.262595357080851	0.6735988487930855	0.7178068555019116	False		False
11 - METTL16	0.41334558545311395	0.393212808436331	0.7178068555019116	False		False
14 - ITGB7	0.5426668919383789	0.20863853146542155	0.7178068555019116	False		False
17 - MIF	0.4849574174887745	0.290489110146001	0.7178068555019116	False		False
11 - ACTG1	0.5026430418215769	0.21604811488460118	0.7178068555019116	False		False
14 - BCL2A1	0.3718380899516176	0.46456636170026233	0.7178068555019116	False		False
14 - KDELR2	0.3907227378381134	0.49250170572874763	0.7178068555019116	False		False
4 - RACK1	0.40273091552197093	0.3871308002206484	0.7178068555019116	False		False
11 - MATK	0.46731658148846034	0.2681640435357021	0.7178068555019116	False		False
11 - SP100	0.49735072138414715	0.25895582611388623	0.7178068555019116	False		False
11 - COMMD9	0.14308615908174493	0.7595292514930466	0.7178068555019116	False		False
11 - SPTY2D1	0.17250801438844832	0.7249613707961811	0.7178068555019116	False		False
16 - CLU	0.49004602156376587	0.3472959683297041	0.7178068555019116	False		False
16 - FCER1G	0.40151189056208314	0.5084928658834609	0.7178068555019116	False		False
14 - CD53	0.37392168533155257	0.47254637300924374	0.7178068555019116	False		False
11 - ZC3H18	0.43647323299892427	0.3308089111997343	0.7178068555019116	False		False
16 - SOD2	0.1658259342370294	0.7241318322660717	0.7178068555019116	False		False
14 - LAGE3	0.3587871231087899	0.5220539717702715	0.7178068555019116	False		False
4 - NR4A2	0.5175561493219265	0.5213009605120302	0.7178068555019116	False		False
14 - FMNL1	0.3835970601113424	0.454083517547901	0.7178068555019116	False		False
11 - OXNAD1	0.2583519738658422	0.6435245750549274	0.7178068555019116	False		False
14 - PSMB6	0.19600730198266647	0.7097175591386867	0.7178068555019116	False		False
17 - TMEM175	0.13451861551899125	0.7663716145473433	0.7178068555019116	False		False
7 - RPS4X	0.22371897684295783	0.6599148988527154	0.7178068555019116	False		False
12 - IFIT3	0.30940470425025546	0.569334724974643	0.7178068555019116	False		False
17 - CBX6	0.30953957992695313	0.5490507521274051	0.7178068555019116	False		False
17 - RHOA	0.34572006569370184	0.5064582416984758	0.7178068555019116	False		False
9 - RPL4	0.08317358031319633	0.8382160118932155	0.7178068555019116	False		False
14 - RPL17	0.27953825679502353	0.6080634173382933	0.7178068555019116	False		False
17 - PSIP1	0.1195929469071575	0.7932168081373256	0.7178068555019116	False		False
13 - LGALS2	0.09967894158535007	0.8175696744721968	0.7178068555019116	False		False
11 - TRIB2	0.29351949862523674	0.5715336094557684	0.7178068555019116	False		False
17 - LAPTM5	0.27374352897704357	0.5870728825934526	0.7178068555019116	False		False
17 - RPL23A	0.2798249588882813	0.5641450218115103	0.7178068555019116	False		False
17 - SLC15A4	0.3099644504841522	0.5462242406356648	0.7178068555019116	False		False
17 - GTF3C1	0.11192226506210745	0.7965867191067652	0.7178068555019116	False		False
14 - PPM1G	0.03691732104907686	0.9019483927756146	0.7178068555019116	False		False
16 - STAT2	0.2502409134084873	0.6581538822123745	0.7178068555019116	False		False
17 - PGLS	0.3411020092045096	0.48854748490024125	0.7178068555019116	False		False
17 - TIPARP	0.245883627417113	0.6340351763678169	0.7178068555019116	False		False
11 - SETDB1	0.17225167570319988	0.7407647710206342	0.7178068555019116	False		False
9 - EREG	0.3093529373729975	0.5350969555554632	0.7178068555019116	False		False
11 - DDB2	0.22688314579924518	0.65194450094154	0.7178068555019116	False		False
6 - S100A11	0.09402694955220248	0.8330422720462406	0.7178068555019116	False		False
16 - NRGN	0.481771052189256	0.34939123404355055	0.7178068555019116	False		False
17 - S100A4	0.49348519443018546	0.21315763939619037	0.7178068555019116	False		False
10 - RPL5	0.45525452166126756	0.332359943638172	0.7178068555019116	False		False
17 - AIF1	0.30075984382656884	0.5643176497116256	0.7178068555019116	False		False
16 - PLXDC2	0.13535482536664556	0.7682443951287967	0.7178068555019116	False		False
16 - GDI1	0.45396772524023943	0.37180992040284344	0.7178068555019116	False		False
14 - SARS	0.47771488554908426	0.3544136837345139	0.7178068555019116	False		False
17 - EIF2AK2	0.45419179991136394	0.3500320620867826	0.7178068555019116	False		False
11 - ZNF292	0.17423497795184506	0.733097069629667	0.7178068555019116	False		False
10 - SRRM2	0.4625485449197211	0.2650171749008702	0.7178068555019116	False		False
17 - NCF1	0.3959959312016764	0.46052536110646003	0.7178068555019116	False		False
14 - DDX6	0.5316455336965578	0.16240448484176695	0.7178068555019116	False		False
14 - IFI35	0.5083031735617259	0.22082955517338687	0.7178068555019116	False		False
14 - DDX21	0.4599876793589961	0.2734311596837503	0.7178068555019116	False		False
13 - CD3E	0.3876564080900258	0.5654618214560714	0.7178068555019116	False		False
14 - TMF1	0.4534656051946955	0.27667164762155094	0.7178068555019116	False		False
16 - SOCS3	0.3524708389160094	0.5225766328715074	0.7178068555019116	False		False
11 - PTBP3	0.18004287313430067	0.7150932942059741	0.7178068555019116	False		False
5 - XAF1	0.2975348454381632	0.5500480304515196	0.7178068555019116	False		False
14 - MRPS5	0.27265922606383564	0.5863021734757069	0.7178068555019116	False		False
14 - ATP6V0B	0.058493766574487016	0.8705236919782264	0.7178068555019116	False		False
11 - PTGES3	0.37201034788813847	0.4338203089262934	0.7178068555019116	False		False
11 - CYB5R3	0.009569119729184394	0.9555342666243227	0.7178068555019116	False		False
17 - PLXND1	0.47551603124699804	0.23576571271330582	0.7178068555019116	False		False
4 - EIF3K	0.5288787814428506	0.20411388462382996	0.7178068555019116	False		False
17 - ZMYM2	0.45106128360981723	0.27967794498518084	0.7178068555019116	False		False
17 - ITGB7	0.26851679569232223	0.6191305730172474	0.7178068555019116	False		False
10 - SP100	0.44148938414321215	0.36956113712426497	0.7178068555019116	False		False
17 - TNPO1	0.29978265426280326	0.553074829150279	0.7178068555019116	False		False
13 - RHOB	0.35989054952655875	0.45720267026779005	0.7178068555019116	False		False
16 - AHR	0.19794337205534362	0.6833738658211976	0.7178068555019116	False		False
17 - PDCD10	0.21843222632414694	0.6737456125963911	0.7178068555019116	False		False
14 - TRA2A	0.4194553389548936	0.3717280618166683	0.7178068555019116	False		False
2 - XAF1	0.2728963336576218	0.5937097060189794	0.7178068555019116	False		False
11 - MYOM2	0.0468893001254056	0.8981119967790742	0.7178068555019116	False		False
17 - HEBP2	0.408044815130583	0.40559191082327395	0.7178068555019116	False		False
8 - CXCL2	0.20195271269423798	0.6800955996941751	0.7178068555019116	False		False
3 - GZMB	0.2795820099037758	0.6110714873064592	0.7178068555019116	False		False
17 - SEMA4D	0.42530764280438715	0.40047468196908087	0.7178068555019116	False		False
3 - PRF1	0.2512571498230103	0.6377997890518106	0.7178068555019116	False		False
14 - YWHAQ	0.2599691062232409	0.6042120271342064	0.7178068555019116	False		False
14 - NDUFB5	0.36479731090276046	0.48616963997376206	0.7178068555019116	False		False
11 - NSRP1	0.32554822422331586	0.5600434812173347	0.7178068555019116	False		False
17 - MYL6	0.5361471193258807	0.19375962740038866	0.7178068555019116	False		False
9 - EEF2	0.09617688192119911	0.824137911200561	0.7178068555019116	False		False
14 - ANAPC5	0.4749652966659319	0.362464053406376	0.7178068555019116	False		False
11 - DDX39A	0.35414150602208794	0.5498401428351696	0.7178068555019116	False		False
17 - TTC19	0.44756117829353315	0.33325920330859793	0.7178068555019116	False		False
16 - SLC8A1	0.16211092989365106	0.7305503105591824	0.7178068555019116	False		False
4 - POLR3GL	0.5194685440478173	0.18842769231996293	0.7178068555019116	False		False
4 - RNF125	0.4665456547605793	0.5147978956801318	0.7178068555019116	False		False
11 - DIS3L2	0.4025452981101336	0.3870643697723857	0.7178068555019116	False		False
7 - CTSD	0.0024752866236265048	0.9786399863996729	0.7178068555019116	False		False
16 - IFITM1	0.4169054372108085	0.3874421831671153	0.7178068555019116	False		False
7 - IL1B	0.4798810485068399	0.27891184727319707	0.7178068555019116	False		False
17 - CXCR4	0.3812816106610555	0.430354884811184	0.7178068555019116	False		False
14 - MGMT	0.4595963332910532	0.3213431983060572	0.7178068555019116	False		False
6 - IRF7	0.41625430989092527	0.3954710713940881	0.7178068555019116	False		False
2 - IFI44L	0.2767762676943737	0.5834636959721982	0.7178068555019116	False		False
16 - SLC7A5	0.3955691393304571	0.4335869060119034	0.7178068555019116	False		False
14 - GCA	0.41546908016629314	0.50291325436699	0.7178068555019116	False		False
16 - RWDD1	0.45988838195817006	0.3143343089266101	0.7178068555019116	False		False
14 - SPAG9	0.19894195118541136	0.681553856121017	0.7178068555019116	False		False
4 - CLIC3	0.474824506283671	0.3378024871172728	0.7178068555019116	False		False
