,Foldchange,stat,pvalue,FDR,comparison,group1,group2
S100A8,-63.73980470242981,-7.2968006728650465,2.9469086356239417e-13,2.011854525540465e-09,2_vs_0,2,0
ACTB,-22.51740039168948,-5.109252548388861,3.234357869237967e-07,0.00110404805866438,2_vs_0,2,0
EDF1,-0.6437829723587515,-4.531997391207526,5.842857168631366e-06,0.011079577869386794,2_vs_0,2,0
VAMP8,-0.7954057779871716,-4.509710241404103,6.491623184055541e-06,0.011079577869386794,2_vs_0,2,0
GSTP1,-1.738164597420523,-4.443009783337778,8.870913052017725e-06,0.012112344681225002,2_vs_0,2,0
S100A4,-10.778796656822971,-4.254166153051603,2.098294575297151e-05,0.023875095109256082,2_vs_0,2,0
SRP14,-0.9251777787605853,-4.034495900646738,5.471964535208622e-05,0.05336728840267037,2_vs_0,2,0
S100A9,-34.54902082712674,-3.9976077507457153,6.3985866926555e-05,0.05460393918844887,2_vs_0,2,0
NDUFB2,-0.5544511288056119,-3.8806931407221477,0.0001041591913318686,0.07567218213124224,2_vs_0,2,0
PSMB10,-0.582919574842587,-3.845943155411014,0.00012008960395346368,0.07567218213124224,2_vs_0,2,0
TRAPPC1,-0.5748193453843831,-3.8422194160832253,0.0001219267618930225,0.07567218213124224,2_vs_0,2,0
GUK1,-0.5229186474266223,-3.7173078578950682,0.00020135701979904507,0.11455536451400672,2_vs_0,2,0
WDR83OS,-0.5689211284815612,-3.6140077656696348,0.0003015000246252671,0.15833389754743835,2_vs_0,2,0
CFL1,-3.3405640313715628,-3.5565577331708753,0.00037574593508300525,0.18322982134369117,2_vs_0,2,0
ANXA2,-0.835667987115375,-3.412184183280969,0.0006444455390678725,0.2933086463477577,2_vs_0,2,0
B2M,-17.726422726016185,-3.3793970101831943,0.0007264501978276935,0.30996721878560396,2_vs_0,2,0
GPX4,-0.6074128203925196,-3.248862860982402,0.0011586732408562998,0.4653095420779976,2_vs_0,2,0
ENO1,-0.7333535753253169,-3.108714547900615,0.0018790316400314547,0.7126749448052634,2_vs_0,2,0
ANAPC11,-0.40456521930349637,-3.080793230341184,0.0020644996057048027,0.7418073056919309,2_vs_0,2,0
GNB2,-0.568209154066362,-2.9652004554409577,0.0030248576057645524,0.999247160775692,2_vs_0,2,0
FTL,-15.042684329599975,-2.902199753292324,0.003705521769879352,0.999247160775692,2_vs_0,2,0
PRDX1,-0.4251628275882398,-2.89827708231685,0.0037521893650880787,0.999247160775692,2_vs_0,2,0
MYL6,-3.1598276920092614,-2.8654403887160407,0.004164296682426835,0.999247160775692,2_vs_0,2,0
PFN1,-5.881396068399737,-2.7886052100005148,0.005293555035918668,0.999247160775692,2_vs_0,2,0
SERPINB1,-0.7361593837934342,-2.73417656053121,0.006253650108539899,0.999247160775692,2_vs_0,2,0
C19orf53,-0.3647756977171742,-2.6961829632716907,0.007013912947852826,0.999247160775692,2_vs_0,2,0
NDUFA12,-0.36916692687937436,-2.648532536621379,0.008084206702515435,0.999247160775692,2_vs_0,2,0
TALDO1,-1.123540536195409,-2.594479159332763,0.009473435675939548,0.999247160775692,2_vs_0,2,0
SELENOH,-0.46268010788823255,-2.574699400411688,0.01003272380826274,0.999247160775692,2_vs_0,2,0
ACTR3,-0.3991229856588422,-2.5602445141218517,0.010459854053932007,0.999247160775692,2_vs_0,2,0
NDUFB10,-0.3835733888350286,-2.5546636489452603,0.010629045220873289,0.999247160775692,2_vs_0,2,0
UQCRQ,-0.5020979119031995,-2.5420864848112563,0.01101929039645709,0.999247160775692,2_vs_0,2,0
PSMA7,-0.7656742077538071,-2.5395197682944266,0.011100477192377103,0.999247160775692,2_vs_0,2,0
RPL28,-8.902780520377288,-2.5250601553394354,0.01156784862556873,0.999247160775692,2_vs_0,2,0
ZNHIT1,-0.3090172414953481,-2.511757060099507,0.012013175737357374,0.999247160775692,2_vs_0,2,0
ATP6V1F,-0.5230222131376313,-2.5018888591547417,0.012353269806467561,0.999247160775692,2_vs_0,2,0
PSMB3,-0.655774473799909,-2.4963158908202536,0.012549079297247294,0.999247160775692,2_vs_0,2,0
TSPO,-2.0508403923793925,-2.4635382536552104,0.013757321423185323,0.999247160775692,2_vs_0,2,0
SEC61B,-0.7016068130304742,-2.445319311519324,0.014472394624052424,0.999247160775692,2_vs_0,2,0
TMSB10,-14.02022968676606,-2.438231213528046,0.014759330320373331,0.999247160775692,2_vs_0,2,0
COX8A,-0.9379657727780627,-2.416941644189273,0.015651526148461402,0.999247160775692,2_vs_0,2,0
DOK2,-0.29703544969688994,-2.4091754932933847,0.015988607695246362,0.999247160775692,2_vs_0,2,0
CYBA,-3.4345863255102014,-2.3861402916952605,0.017026254538549838,0.999247160775692,2_vs_0,2,0
OAZ1,-2.915915374445734,-2.347507398797214,0.01889949779297383,0.999247160775692,2_vs_0,2,0
UBB,-0.7895432383497588,-2.3146311057796214,0.020633129049433447,0.999247160775692,2_vs_0,2,0
VIM,-6.485051659489894,-2.312667805312465,0.02074091040534016,0.999247160775692,2_vs_0,2,0
MYL12A,-1.9495699635015984,-2.3085273068332977,0.02096982584558659,0.999247160775692,2_vs_0,2,0
NDUFA1,-0.44487160066903064,-2.2971980412842194,0.021607474823830606,0.999247160775692,2_vs_0,2,0
MIEN1,-0.27868440309849596,-2.231120766319036,0.025673130539706265,0.999247160775692,2_vs_0,2,0
CCDC85B,-0.3383833775741942,-2.227655244460807,0.025903513669209247,0.999247160775692,2_vs_0,2,0
PSMB8,-0.4849911727487232,-2.1983550164038608,0.027923816660914993,0.999247160775692,2_vs_0,2,0
SNRPD3,-0.2819051431636754,-2.1806522792702716,0.029209145179633265,0.999247160775692,2_vs_0,2,0
FTH1,-10.601109975598694,-2.1676537156488522,0.030185043495617365,0.999247160775692,2_vs_0,2,0
ARHGDIA,-0.33560542767824414,-2.1497268316709732,0.03157682876591378,0.999247160775692,2_vs_0,2,0
BRI3,-0.2740219754625823,-2.146653759624576,0.031820856602555216,0.999247160775692,2_vs_0,2,0
H2AFV,-0.29459886800497187,-2.1351561960469203,0.03274825361658467,0.999247160775692,2_vs_0,2,0
JTB,-0.3021944856916493,-2.068987687076132,0.03854724215023104,0.999247160775692,2_vs_0,2,0
NDUFS6,-0.29853248562801493,-2.066297173796978,0.03880042812317473,0.999247160775692,2_vs_0,2,0
GSTO1,-0.35292716034766347,-2.044850983932535,0.0408695515673695,0.999247160775692,2_vs_0,2,0
ATP6V0E1,-0.7199544684569142,-2.0399138854223815,0.04135890351259415,0.999247160775692,2_vs_0,2,0
RBX1,-0.3257628929705809,-2.0397093016470977,0.041379287925488555,0.999247160775692,2_vs_0,2,0
VCP,-0.256920887543144,-2.011247425379746,0.044299328694838526,0.999247160775692,2_vs_0,2,0
PKM,-0.7250742540916121,-2.0055072339541655,0.04490884817004634,0.999247160775692,2_vs_0,2,0
CSK,-0.24458234427556313,-1.9978000490209817,0.0457383420399692,0.999247160775692,2_vs_0,2,0
S100A6,-12.294841261711886,-1.9930373945111237,0.046257352475389396,0.999247160775692,2_vs_0,2,0
MYDGF,-0.24230858119064616,-1.9820888169080466,0.04746930096012761,0.999247160775692,2_vs_0,2,0
BANF1,-0.2812034825597823,-1.9668122866316067,0.04920485556978063,0.999247160775692,2_vs_0,2,0
SNX3,-0.3711216619070457,-1.9467155431124799,0.05156884713245967,0.999247160775692,2_vs_0,2,0
COX7B,-0.42206227755100556,-1.9040148499607128,0.056908250195609765,0.999247160775692,2_vs_0,2,0
COPE,-0.3108068198152173,-1.881565583640373,0.059895022801013297,0.999247160775692,2_vs_0,2,0
CDK2AP2,-0.2996146183431033,-1.8796156362841268,0.06016048068060395,0.999247160775692,2_vs_0,2,0
UBE2I,-0.22871366569942883,-1.8742501251535164,0.060895958274712454,0.999247160775692,2_vs_0,2,0
SNU13,-0.23397721765291946,-1.871639507691326,0.06125649371649447,0.999247160775692,2_vs_0,2,0
RNH1,-0.3078717889934451,-1.8584219519360963,0.06310911732938987,0.999247160775692,2_vs_0,2,0
HSP90AA1,-0.7444730389767684,-1.857418296989882,0.06325166531981603,0.999247160775692,2_vs_0,2,0
MRPS21,-0.23690742995014022,-1.855104919767748,0.06358124539678033,0.999247160775692,2_vs_0,2,0
TKT,-0.9018992656155153,-1.85205520587146,0.06401789590700294,0.999247160775692,2_vs_0,2,0
CLIC1,-1.8764415887394654,-1.8511349807383937,0.06415013675793205,0.999247160775692,2_vs_0,2,0
