gene,comparison,group1,group2,foldchange,pvalue,fdr,rank
S100A8,1_vs_2,1,2,26.77511613187887,0.07088453858472885,0.9999988948760975,1
EEF1A1,1_vs_2,1,2,-24.36549432791809,0.07872027573924302,0.9999988948760975,2
GSTP1,1_vs_2,1,2,1.0218981368235325,0.15782747895673443,0.9999988948760975,3
BTG1,1_vs_2,1,2,-2.568747691296877,0.18132271962179725,0.9999988948760975,4
RPL10,1_vs_2,1,2,-16.280079453993338,0.22328292643256298,0.9999988948760975,6
TSC22D3,1_vs_2,1,2,-1.4380663614941482,0.249590004415136,0.9999988948760975,8
ACTB,1_vs_2,1,2,9.73311984046645,0.25594125208423246,0.9999988948760975,10
ANXA2,1_vs_2,1,2,0.5347209443343641,0.25820901179267863,0.9999988948760975,11
S100A4,1_vs_2,1,2,5.020449711158695,0.2599252392216861,0.9999988948760975,12
VAMP8,1_vs_2,1,2,0.3473164303572222,0.2933041061944952,0.9999988948760975,16
S100A9,1_vs_2,1,2,14.717774521256812,0.3173974217943579,0.9999988948760975,18
NSA2,1_vs_2,1,2,-0.2779725617050735,0.33419612111185837,0.9999988948760975,20
SRP14,1_vs_0,1,0,-1.1454222814226733,5.885603842113268e-07,0.003766261421866788,1
EDF1,1_vs_0,1,0,-0.6921168439056015,1.1033430267663068e-06,0.003766261421866788,2
S100A8,1_vs_0,1,0,-36.96468857055094,2.3199259369536447e-05,0.052793781238608437,3
B2M,1_vs_0,1,0,-19.868394228143764,0.00015201995952212103,0.20756805273150405,5
ACTB,1_vs_0,1,0,-12.78428055122303,0.003722301941101978,0.9454905887484688,8
EEF1A1,1_vs_0,1,0,-23.087790394828268,0.003868516347763938,0.9454905887484688,9
TSC22D3,1_vs_0,1,0,-1.91158401234615,0.004783789308752718,0.9454905887484688,11
GPX4,1_vs_0,1,0,-0.5207085282712747,0.005350981724585553,0.9454905887484688,12
NDUFB2,1_vs_0,1,0,-0.3878724242271825,0.0066319442225610155,0.9454905887484688,13
GUK1,1_vs_0,1,0,-0.37064838253878024,0.008417354902005505,0.9454905887484688,15
CFL1,1_vs_0,1,0,-2.4625482993551677,0.008747408627337284,0.9454905887484688,16
BTG1,1_vs_0,1,0,-2.7816892651426053,0.00926792821252377,0.9454905887484688,17
NSA2,1_vs_0,1,0,-0.435237610472977,0.009691231076187221,0.9454905887484688,18
RPL10,1_vs_0,1,0,-19.49915606820667,0.010693661827476577,0.9454905887484688,20
S100A8,2_vs_0,2,0,-63.73980470242981,2.9469086356239417e-13,2.011854525540465e-09,1
ACTB,2_vs_0,2,0,-22.51740039168948,3.234357869237967e-07,0.00110404805866438,2
EDF1,2_vs_0,2,0,-0.6437829723587515,5.842857168631366e-06,0.011079577869386794,3
VAMP8,2_vs_0,2,0,-0.7954057779871716,6.491623184055541e-06,0.011079577869386794,4
GSTP1,2_vs_0,2,0,-1.738164597420523,8.870913052017725e-06,0.012112344681225002,5
S100A4,2_vs_0,2,0,-10.778796656822971,2.098294575297151e-05,0.023875095109256082,6
SRP14,2_vs_0,2,0,-0.9251777787605853,5.471964535208622e-05,0.05336728840267037,7
S100A9,2_vs_0,2,0,-34.54902082712674,6.3985866926555e-05,0.05460393918844887,8
NDUFB2,2_vs_0,2,0,-0.5544511288056119,0.0001041591913318686,0.07567218213124224,9
GUK1,2_vs_0,2,0,-0.5229186474266223,0.00020135701979904507,0.11455536451400672,12
CFL1,2_vs_0,2,0,-3.3405640313715628,0.00037574593508300525,0.18322982134369117,14
ANXA2,2_vs_0,2,0,-0.835667987115375,0.0006444455390678725,0.2933086463477577,15
B2M,2_vs_0,2,0,-17.726422726016185,0.0007264501978276935,0.30996721878560396,16
GPX4,2_vs_0,2,0,-0.6074128203925196,0.0011586732408562998,0.4653095420779976,17
